0.000: [GC 512K->155K(1984K), 0.0046750 secs]
0.563: [GC 667K->333K(1984K), 0.0112550 secs]
1.102: [GC 845K->457K(1984K), 0.0078840 secs]
1.195: [GC 969K->629K(1984K), 0.0044500 secs]
1.252: [GC 1141K->810K(1984K), 0.0033530 secs]
1.284: [GC 1319K->1077K(1984K), 0.0033340 secs]
1.300: [GC 1589K->1205K(1984K), 0.0021880 secs]
1.314: [GC 1717K->1265K(1984K), 0.0012770 secs]
1.380: [GC 1777K->1345K(1984K), 0.0031820 secs]
1.574: [GC 1857K->1531K(2112K), 0.0041460 secs]
1.578: [Full GC 1531K->1447K(2112K), 0.0696690 secs]
1.678: [GC 1931K->1643K(2992K), 0.0040890 secs]
1.825: [GC 2155K->1749K(2992K), 0.0028840 secs]
1.936: [GC 2261K->1885K(2992K), 0.0037010 secs]
2.037: [GC 2397K->2015K(2992K), 0.0025920 secs]
2.045: [GC 2527K->2197K(2992K), 0.0029510 secs]
2.064: [GC 2709K->2476K(2992K), 0.0049080 secs]
2.069: [Full GC 2476K->1432K(2992K), 0.0639400 secs]
2.146: [GC 1944K->1624K(2992K), 0.0011980 secs]
2.163: [GC 2136K->1685K(2992K), 0.0010450 secs]
2.172: [GC 2197K->1743K(2992K), 0.0012510 secs]
2.180: [GC 2255K->1883K(2992K), 0.0020170 secs]
2.188: [GC 2395K->2064K(2992K), 0.0023990 secs]
2.293: [GC 2576K->2145K(2992K), 0.0024340 secs]
2.380: [GC 2657K->2333K(2992K), 0.0025960 secs]
2.389: [GC 2845K->2514K(3120K), 0.0025970 secs]
2.392: [Full GC 2514K->1697K(3120K), 0.0688020 secs]
2.507: [GC 2209K->1803K(3408K), 0.0024600 secs]
2.617: [GC 2315K->1839K(3408K), 0.0022090 secs]
2.727: [GC 2351K->1970K(3408K), 0.0066300 secs]
3.054: [GC 2482K->2055K(3408K), 0.0048310 secs]
3.187: [GC 2567K->2319K(3408K), 0.0079190 secs]
3.666: [GC 2831K->2468K(3408K), 0.0107670 secs]
9.937: [GC 2971K->2589K(3408K), 0.0109900 secs]
13.055: [GC 3101K->2685K(3408K), 0.0034890 secs]
20.651: [GC 3197K->2683K(3408K), 0.0028620 secs]
26.780: [GC 3195K->2702K(3408K), 0.0118610 secs]
27.374: [GC 3214K->2857K(3408K), 0.0035490 secs]
27.406: [GC 3369K->2968K(3536K), 0.0031080 secs]
27.409: [Full GC 2968K->2133K(3536K), 0.1110350 secs]
27.547: [GC 2645K->2301K(4132K), 0.0025390 secs]
27.580: [GC 2813K->2446K(4132K), 0.0030540 secs]
27.906: [GC 2951K->2523K(4132K), 0.0025450 secs]
28.119: [GC 3035K->2597K(4132K), 0.0025260 secs]
28.397: [GC 3109K->2665K(4132K), 0.0024730 secs]
28.568: [GC 3177K->2745K(4132K), 0.0023960 secs]
28.656: [GC 3257K->2824K(4132K), 0.0023620 secs]
28.689: [GC 3336K->2926K(4132K), 0.0021150 secs]
28.753: [GC 3438K->3072K(4132K), 0.0027290 secs]
28.794: [GC 3584K->3232K(4132K), 0.0030870 secs]
28.812: [GC 3744K->3402K(4132K), 0.0035350 secs]
28.877: [GC 3912K->3416K(4132K), 0.0019630 secs]
28.985: [GC 3916K->3435K(4132K), 0.0020720 secs]
29.095: [GC 3947K->3573K(4132K), 0.0024250 secs]
29.103: [GC 4085K->3754K(4388K), 0.0031970 secs]
29.107: [Full GC 3754K->3591K(4388K), 0.1149080 secs]
29.231: [GC 4023K->3748K(6564K), 0.0021790 secs]
29.245: [GC 4260K->3949K(6564K), 0.0016250 secs]
29.257: [GC 4461K->4008K(6564K), 0.0011360 secs]
29.262: [GC 4520K->4067K(6564K), 0.0014550 secs]
29.305: [GC 4579K->4145K(6564K), 0.0019380 secs]
29.313: [GC 4657K->4326K(6564K), 0.0026850 secs]
29.369: [GC 4834K->4508K(6564K), 0.0031250 secs]
29.469: [GC 5020K->4565K(6564K), 0.0050310 secs]
29.540: [GC 5077K->4707K(6564K), 0.0034520 secs]
29.776: [GC 5219K->4712K(6564K), 0.0026220 secs]
29.812: [GC 5224K->4712K(6564K), 0.0014200 secs]
29.834: [GC 5224K->4712K(6564K), 0.0008670 secs]
29.856: [GC 5224K->4712K(6564K), 0.0006320 secs]
30.158: [GC 5224K->4713K(6564K), 0.0006890 secs]
30.176: [GC 5225K->4713K(6564K), 0.0006330 secs]
30.191: [GC 5225K->4713K(6564K), 0.0005420 secs]
30.423: [GC 5225K->4712K(6564K), 0.0005640 secs]
30.439: [GC 5224K->4713K(6564K), 0.0006610 secs]
30.456: [GC 5225K->4713K(6564K), 0.0005360 secs]
30.492: [GC 5225K->4720K(6564K), 0.0011950 secs]
30.552: [GC 5232K->4756K(6564K), 0.0014540 secs]
30.633: [GC 5267K->4815K(6564K), 0.0018750 secs]
30.684: [GC 5327K->4851K(6564K), 0.0014640 secs]
30.719: [GC 5356K->4894K(6564K), 0.0012090 secs]
30.743: [GC 5397K->4994K(6564K), 0.0017460 secs]
30.761: [GC 5502K->4986K(6564K), 0.0010020 secs]
30.774: [GC 5496K->4988K(6564K), 0.0005290 secs]
30.787: [GC 5497K->4982K(6564K), 0.0004650 secs]
30.804: [GC 5494K->5047K(6564K), 0.0012990 secs]
30.819: [GC 5559K->5050K(6564K), 0.0008130 secs]
30.846: [GC 5562K->5073K(6564K), 0.0009430 secs]
30.894: [GC 5585K->5232K(6564K), 0.0019700 secs]
30.899: [GC 5744K->5412K(6564K), 0.0019460 secs]
30.909: [GC 5843K->5508K(6564K), 0.0016000 secs]
30.915: [GC 6020K->5696K(6564K), 0.0012760 secs]
30.919: [GC 6208K->5757K(6564K), 0.0008150 secs]
30.921: [GC 6269K->5815K(6564K), 0.0010110 secs]
30.926: [GC 6327K->5956K(6564K), 0.0018230 secs]
30.931: [GC 6468K->6137K(6692K), 0.0019330 secs]
30.933: [Full GC 6137K->4562K(6692K), 0.0920760 secs]
31.055: [GC 5138K->4636K(8248K), 0.0010990 secs]
31.071: [GC 5212K->4640K(8248K), 0.0007230 secs]
31.083: [GC 5216K->4655K(8248K), 0.0005180 secs]
31.100: [GC 5226K->4652K(8248K), 0.0005060 secs]
31.116: [GC 5228K->4666K(8248K), 0.0005550 secs]
31.133: [GC 5237K->4672K(8248K), 0.0005600 secs]
31.153: [GC 5246K->4669K(8248K), 0.0005550 secs]
31.170: [GC 5237K->4684K(8248K), 0.0005400 secs]
31.193: [GC 5254K->4685K(8248K), 0.0005920 secs]
31.207: [GC 5255K->4692K(8248K), 0.0005530 secs]
31.221: [GC 5260K->4719K(8248K), 0.0005990 secs]
31.239: [GC 5287K->4705K(8248K), 0.0005720 secs]
31.253: [GC 5281K->4709K(8248K), 0.0005520 secs]
31.266: [GC 5280K->4726K(8248K), 0.0005260 secs]
31.295: [GC 5299K->4729K(8248K), 0.0005220 secs]
31.309: [GC 5296K->4725K(8248K), 0.0004970 secs]
31.325: [GC 5300K->4739K(8248K), 0.0005910 secs]
31.344: [GC 5314K->4743K(8248K), 0.0005700 secs]
31.358: [GC 5318K->4749K(8248K), 0.0005710 secs]
31.370: [GC 5325K->4760K(8248K), 0.0006270 secs]
31.383: [GC 5335K->4759K(8248K), 0.0005420 secs]
31.396: [GC 5333K->4777K(8248K), 0.0005600 secs]
31.411: [GC 5353K->4826K(8248K), 0.0010170 secs]
31.435: [GC 5397K->4921K(8248K), 0.0011670 secs]
31.440: [GC 5497K->5131K(8248K), 0.0017610 secs]
31.482: [GC 5707K->5296K(8248K), 0.0019040 secs]
31.529: [GC 5872K->5339K(8248K), 0.0017660 secs]
31.577: [GC 5915K->5351K(8248K), 0.0011960 secs]
31.621: [GC 5927K->5360K(8248K), 0.0015790 secs]
31.639: [GC 5916K->5374K(8248K), 0.0012490 secs]
32.191: [GC 5946K->5405K(8248K), 0.0015220 secs]
32.732: [GC 5981K->5413K(8248K), 0.0029970 secs]
32.833: [GC 5989K->5433K(8248K), 0.0035450 secs]
32.969: [GC 6004K->5440K(8248K), 0.0039510 secs]
33.079: [GC 6016K->5464K(8248K), 0.0046680 secs]
33.163: [GC 6040K->5490K(8248K), 0.0023370 secs]
34.259: [GC 6066K->5513K(8248K), 0.0037510 secs]
34.351: [GC 6089K->5525K(8248K), 0.0025790 secs]
34.888: [GC 6089K->5578K(8248K), 0.0028240 secs]
34.917: [GC 6154K->5578K(8248K), 0.0019670 secs]
34.966: [GC 6154K->5600K(8248K), 0.0023750 secs]
34.995: [GC 6165K->5629K(8248K), 0.0019980 secs]
36.029: [GC 6205K->5649K(8248K), 0.0026330 secs]
36.049: [GC 6225K->5675K(8248K), 0.0019040 secs]
36.142: [GC 6251K->5704K(8248K), 0.0022810 secs]
37.345: [GC 6280K->5720K(8248K), 0.0022660 secs]
37.375: [GC 6281K->5756K(8248K), 0.0028670 secs]
38.458: [GC 6332K->5760K(8248K), 0.0030920 secs]
40.041: [GC 6336K->5789K(8248K), 0.0030280 secs]
42.185: [GC 6365K->5825K(8248K), 0.0073480 secs]
44.223: [GC 6388K->5862K(8248K), 0.0030890 secs]
44.743: [GC 6438K->5905K(8248K), 0.0016840 secs]
